,movie,year,imdb,metascore,votes
0,Batman Begins,2005,8.2,70,1239267
1,V for Vendetta,2005,8.2,62,980130
2,Sin City,2005,8.0,74,724969
3,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68,673170
4,Harry Potter and the Goblet of Fire,2005,7.7,81,509435
5,Mr. & Mrs. Smith,2005,6.5,55,430465
6,Charlie and the Chocolate Factory,2005,6.6,72,402931
7,War of the Worlds,2005,6.5,73,398532
8,King Kong,2005,7.2,81,376206
9,The 40-Year-Old Virgin,2005,7.1,73,375626
10,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,349832
11,Madagascar,2005,6.9,57,346070
12,Wedding Crashers,2005,6.9,64,321109
13,Brokeback Mountain,2005,7.7,87,308374
14,Fantastic Four,2005,5.7,40,302873
15,The Island,2005,6.8,50,292666
16,Constantine,2005,7.0,50,288925
17,Hitch,2005,6.6,58,284990
18,Lord of War,2005,7.6,62,283892
19,Serenity,2005,7.8,74,275417
20,Kingdom of Heaven,2005,7.2,63,256370
21,Pride & Prejudice,2005,7.8,82,238139
22,Corpse Bride,2005,7.3,83,230495
23,Saw II,2005,6.6,40,223457
24,Walk the Line,2005,7.8,72,222448
25,A History of Violence,2005,7.4,81,215399
26,Thank You for Smoking,2005,7.6,71,208529
27,Kiss Kiss Bang Bang,2005,7.5,72,206935
28,Munich,2005,7.5,74,203027
29,Match Point,2005,7.6,72,196759
30,The Descent,2005,7.2,71,190669
31,Transporter 2,2005,6.3,56,184514
32,The Hitchhiker's Guide to the Galaxy,2005,6.8,63,180910
33,Cinderella Man,2005,8.0,69,169769
34,Jarhead,2005,7.0,58,166141
35,Hostel,2005,5.9,55,162933
36,The Longest Yard,2005,6.4,48,155029
37,Hard Candy,2005,7.1,58,149452
38,Flightplan,2005,6.3,53,146907
39,Green Street Hooligans,2005,7.5,55,136364
40,Batman Begins,2005,8.2,70,1239267
41,V for Vendetta,2005,8.2,62,980130
42,Sin City,2005,8.0,74,724969
43,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68,673170
44,Harry Potter and the Goblet of Fire,2005,7.7,81,509435
45,Mr. & Mrs. Smith,2005,6.5,55,430465
46,Charlie and the Chocolate Factory,2005,6.6,72,402931
47,War of the Worlds,2005,6.5,73,398532
48,King Kong,2005,7.2,81,376206
49,The 40-Year-Old Virgin,2005,7.1,73,375626
50,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,349832
51,Madagascar,2005,6.9,57,346070
52,Wedding Crashers,2005,6.9,64,321109
53,Brokeback Mountain,2005,7.7,87,308374
54,Fantastic Four,2005,5.7,40,302873
55,The Island,2005,6.8,50,292666
56,Constantine,2005,7.0,50,288925
57,Hitch,2005,6.6,58,284990
58,Lord of War,2005,7.6,62,283892
59,Serenity,2005,7.8,74,275417
60,Kingdom of Heaven,2005,7.2,63,256370
61,Pride & Prejudice,2005,7.8,82,238139
62,Corpse Bride,2005,7.3,83,230495
63,Saw II,2005,6.6,40,223457
64,Walk the Line,2005,7.8,72,222448
65,A History of Violence,2005,7.4,81,215399
66,Thank You for Smoking,2005,7.6,71,208529
67,Kiss Kiss Bang Bang,2005,7.5,72,206935
68,Munich,2005,7.5,74,203027
69,Match Point,2005,7.6,72,196759
70,The Descent,2005,7.2,71,190669
71,Transporter 2,2005,6.3,56,184514
72,The Hitchhiker's Guide to the Galaxy,2005,6.8,63,180910
73,Cinderella Man,2005,8.0,69,169769
74,Jarhead,2005,7.0,58,166141
75,Hostel,2005,5.9,55,162933
76,The Longest Yard,2005,6.4,48,155029
77,Hard Candy,2005,7.1,58,149452
78,Flightplan,2005,6.3,53,146907
79,Green Street Hooligans,2005,7.5,55,136364
80,Batman Begins,2005,8.2,70,1239267
81,V for Vendetta,2005,8.2,62,980130
82,Sin City,2005,8.0,74,724969
83,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68,673170
84,Harry Potter and the Goblet of Fire,2005,7.7,81,509435
85,Mr. & Mrs. Smith,2005,6.5,55,430465
86,Charlie and the Chocolate Factory,2005,6.6,72,402931
87,War of the Worlds,2005,6.5,73,398532
88,King Kong,2005,7.2,81,376206
89,The 40-Year-Old Virgin,2005,7.1,73,375626
90,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,349832
91,Madagascar,2005,6.9,57,346070
92,Wedding Crashers,2005,6.9,64,321109
93,Brokeback Mountain,2005,7.7,87,308374
94,Fantastic Four,2005,5.7,40,302873
95,The Island,2005,6.8,50,292666
96,Constantine,2005,7.0,50,288925
97,Hitch,2005,6.6,58,284990
98,Lord of War,2005,7.6,62,283892
99,Serenity,2005,7.8,74,275417
100,Kingdom of Heaven,2005,7.2,63,256370
101,Pride & Prejudice,2005,7.8,82,238139
102,Corpse Bride,2005,7.3,83,230495
103,Saw II,2005,6.6,40,223457
104,Walk the Line,2005,7.8,72,222448
105,A History of Violence,2005,7.4,81,215399
106,Thank You for Smoking,2005,7.6,71,208529
107,Kiss Kiss Bang Bang,2005,7.5,72,206935
108,Munich,2005,7.5,74,203027
109,Match Point,2005,7.6,72,196759
110,The Descent,2005,7.2,71,190669
111,Transporter 2,2005,6.3,56,184514
112,The Hitchhiker's Guide to the Galaxy,2005,6.8,63,180910
113,Cinderella Man,2005,8.0,69,169769
114,Jarhead,2005,7.0,58,166141
115,Hostel,2005,5.9,55,162933
116,The Longest Yard,2005,6.4,48,155029
117,Hard Candy,2005,7.1,58,149452
118,Flightplan,2005,6.3,53,146907
119,Green Street Hooligans,2005,7.5,55,136364
120,Batman Begins,2005,8.2,70,1239267
121,V for Vendetta,2005,8.2,62,980130
